listing_id,neighbourhood,room_type,latitude,longitude,price,number_of_reviews
1376100487300697277,Southmead,Entire home/apt,51.50328816366092,-2.5895968593820364,300,0
959301720116936119,Filwood,Entire home/apt,51.4309589,-2.6028301,NA,15
50020222,Easton,Private room,51.46909,-2.56464,NA,2
41628015,Ashley,Entire home/apt,51.47031,-2.58825,NA,11
53305118,Ashley,Entire home/apt,51.474552,-2.5902556,133,15
1355728292173862520,Hotwells & Harbourside,Entire home/apt,51.454442919735435,-2.6045156965044813,NA,0
1110613278950346817,St George Central,Entire home/apt,51.4628,-2.5333,103,8
922906931679423118,Clifton Down,Entire home/apt,51.46805,-2.61449,141,22
809992844514078852,Ashley,Private room,51.46859776035829,-2.5835027173161507,38,131
46183832,Southville,Entire home/apt,51.44542,-2.61341,307,46
1288427819884242707,Easton,Private room,51.46698653238291,-2.5541741487926197,NA,0
1068256887101892911,Hartcliffe & Withywood,Private room,51.402107663311824,-2.5996147468686104,50,0
1166763394404789910,Eastville,Private room,51.47381,-2.56046,64,0
990592736512162559,Ashley,Entire home/apt,51.46001526114597,-2.585203300000003,151,15
1161517807526407506,Avonmouth & Lawrence Weston,Entire home/apt,51.50484,-2.67387,226,0
11989628,Bishopston & Ashley Down,Entire home/apt,51.4742294,-2.5854388,90,0
1341201207572718095,St George Central,Entire home/apt,51.459860508476126,-2.5230208189497634,158,0
859202861873371361,Lawrence Hill,Private room,51.45590265043076,-2.5642964243888855,28,11
1274754234328829698,St George West,Entire home/apt,51.46093422648234,-2.55212373697739,280,0
1140728275228048439,Bishopston & Ashley Down,Entire home/apt,51.4778709,-2.5836091,NA,1
23479308,St George Troopers Hill,Entire home/apt,51.45292,-2.52399,NA,19
1331396668647937303,Hotwells & Harbourside,Entire home/apt,51.455044375254374,-2.6068600995498152,35,1
1147836949013709698,Stoke Bishop,Entire home/apt,51.47557963513079,-2.6347077288360654,140,48
1305116353584109929,Lockleaze,Private room,51.49487234740865,-2.5669242452942194,29,0
1031072893763115434,Cotham,Entire home/apt,51.4682256,-2.5924506,100,8
681758613030107684,Redland,Private room,51.47371,-2.5925,49,42
812827705439913132,Horfield,Entire home/apt,51.4949747,-2.5959413,201,35
30124441,Eastville,Private room,51.47397,-2.55023,NA,69
44988856,Hotwells & Harbourside,Entire home/apt,51.45013,-2.607,134,51
1155853363796712212,Clifton Down,Entire home/apt,51.46486155361937,-2.6131877303123474,140,8
1278435842693072354,Central,Entire home/apt,51.46033598377427,-2.593588973333485,153,4
1222456174783865966,Lockleaze,Private room,51.48487,-2.572,41,0
1136782875360753535,Lockleaze,Private room,51.49455,-2.56549,46,100
925354552711381701,Lawrence Hill,Private room,51.46169709999999,-2.5735244,NA,38
878288557397424712,Bedminster,Entire home/apt,51.4381298248766,-2.6098336279392242,NA,45
1171664602770030763,Ashley,Private room,51.46820899999999,-2.5805121,NA,7
1050720508659875900,Brislington West,Private room,51.43165,-2.55023,38,1
29878335,Southville,Private room,51.44389,-2.60641,44,11
1170769908031258022,Central,Entire home/apt,51.45511,-2.6022,NA,2
794948879908620963,Henbury & Brentry,Private room,51.508,-2.61916,34,18
800265398107796122,Central,Entire home/apt,51.45307,-2.59657,78,62
1328191696479570796,Central,Entire home/apt,51.4504,-2.58847,75,8
1046226072714411563,Redland,Entire home/apt,51.47751,-2.59454,NA,7
33763876,Clifton Down,Private room,51.45851,-2.60898,119,96
937770520663085207,Ashley,Entire home/apt,51.46673,-2.57701,NA,11
26102421,Ashley,Private room,51.47303,-2.57739,43,92
1150012757725171610,Easton,Entire home/apt,51.4563755,-2.5605849,100,13
686739215579761506,Windmill Hill,Private room,51.43656,-2.58805,70,111
43982957,Ashley,Entire home/apt,51.46072,-2.58665,NA,5
1120251606094225748,Avonmouth & Lawrence Weston,Entire home/apt,51.49807,-2.66324,125,1
1349323938386334780,Southville,Entire home/apt,51.44551773566036,-2.591398804866872,73,4
625224120311432249,Hotwells & Harbourside,Entire home/apt,51.4544,-2.6065,131,10
1049248243538938688,Hotwells & Harbourside,Entire home/apt,51.449651,-2.6152811,88,31
17420968,Stockwood,Private room,51.42335,-2.56208,60,2
1076587210689517827,Clifton Down,Entire home/apt,51.461591,-2.6104401,113,17
1350683135036988921,Clifton Down,Entire home/apt,51.45911438054162,-2.6114702324549954,99,0
21245658,Filwood,Entire home/apt,51.42584,-2.58523,46,262
1373397129045515293,Central,Entire home/apt,51.45533911306763,-2.5944290566538912,107,1
659289790728347155,Bishopsworth,Entire home/apt,51.4273,-2.61475,116,63
5441092,Southville,Private room,51.44247817993164,-2.607893943786621,47,43
21515974,Bishopston & Ashley Down,Private room,51.47616,-2.58969,41,38
1313178023532936245,Cotham,Entire home/apt,51.468357404053634,-2.6048382724247796,112,2
829761506746529549,Stoke Bishop,Private room,51.485200037949696,-2.650784886369333,34,2
866539583200802908,Henbury & Brentry,Entire home/apt,51.50351,-2.62186,64,24
51678453,Clifton Down,Private room,51.46524,-2.6126,72,10
544701403530134266,Southville,Private room,51.44129,-2.60042,91,54
1312483163538335207,Westbury-on-Trym & Henleaze,Private room,51.49221629641817,-2.6362593841985507,41,0
30464483,Southville,Entire home/apt,51.44232,-2.61086,126,13
1264527389206266927,Ashley,Private room,51.46504,-2.5887,69,4
33307058,Clifton,Entire home/apt,51.45672,-2.6149,99,27
53717128,Eastville,Entire home/apt,51.47599,-2.54175,67,239
575950162472134617,Westbury-on-Trym & Henleaze,Private room,51.49412,-2.63363,54,12
934844372190160675,Ashley,Entire home/apt,51.4696094,-2.5731701,NA,1
937687403631799169,Avonmouth & Lawrence Weston,Entire home/apt,51.497279,-2.660478,NA,0
